ID	SLNO	SALIST	SOURCE_CONCEPT	CONCEPTICON_ID	CONCEPTICON_NAME	FORM	TOKENS	BORROWED	TONES	SOURCE	PAGE	DOCULECT	SPEAKER	GLOTTOCODE	NOTES
130	33	dust	dust	862	DUST	ha³³ ɲak⁵² kʰɔk⁵²	h a ³³ + ɲ a k ⁵² + kʰ ɔ k ⁵²	0	33 52 52	nawsawu2016makyam	157	Khalai	kl2	maky1236	
131	33	dust	dust	862	DUST	haʔ³¹ ɲak⁵² kʰɔʔ³¹	h a ʔ ³¹ + ɲ a k ⁵² + kʰ ɔ ʔ ³¹	0	31 52 31	nawsawu2016makyam	157	Santong	st1	maky1236	
132	33	dust	dust	862	DUST	haʔ²¹ ɲak⁴²	h a ʔ ²¹ + ɲ a k ⁴²	0	21 42	nawsawu2016makyam	157	Santong	st2	maky1236	
133	34	stone	stone	857	STONE	loŋ³³ pʰa³¹	l o ŋ ³³ + pʰ a ³¹	0	33 31	nawsawu2016makyam	157	Khalai	kl1	maky1236	
134	34	stone	stone	857	STONE	loŋ³³ pʰa³³	l o ŋ ³³ + pʰ a ³³	0	33 33	nawsawu2016makyam	157	Khalai	kl2	maky1236	
135	34	stone	stone	857	STONE	loŋ⁴⁴	l o ŋ ⁴⁴	0	44	nawsawu2016makyam	157	Santong	st1	maky1236	
136	34	stone	stone	857	STONE	loŋ³³ pʰa²¹	l o ŋ ³³ + pʰ a ²¹	0	33 21	nawsawu2016makyam	157	Santong	st2	maky1236	
137	35	sand	sand	2499	SAND	huom³³ haʔ⁵²	h uo m ³³ + h a ʔ ⁵²	0	33 52	nawsawu2016makyam	157	Khalai	kl1	maky1236	
138	35	sand	sand	2499	SAND	hom³³ haʔ⁵²	h o m ³³ + h a ʔ ⁵²	0	33 52	nawsawu2016makyam	157	Khalai	kl2	maky1236	
139	35	sand	sand	2499	SAND	hom³³ haʔ⁵²	h o m ³³ + h a ʔ ⁵²	0	33 52	nawsawu2016makyam	157	Santong	st1	maky1236	
140	35	sand	sand	2499	SAND	hom³³ haʔ⁴²	h o m ³³ + h a ʔ ⁴²	0	33 42	nawsawu2016makyam	157	Santong	st2	maky1236	
141	36	lime..betelnut	lime (for betel chew)	2540	LIME (MATERIAL)	tʰon⁴⁴ ɲak⁵²	tʰ o n ⁴⁴ + ɲ a k ⁵²	0	44 52	nawsawu2016makyam	157	Khalai	kl1	maky1236	
142	36	lime..betelnut	lime (for betel chew)	2540	LIME (MATERIAL)	tʰon⁴⁴ ɲak⁵²	tʰ o n ⁴⁴ + ɲ a k ⁵²	0	44 52	nawsawu2016makyam	157	Khalai	kl2	maky1236	
145	37	gold..metal	gold	1233	GOLD	tʃa⁴⁴	tʃ a ⁴⁴	0	44	nawsawu2016makyam	157	Khalai	kl1	maky1236	
146	37	gold..metal	gold	1233	GOLD	tʃa⁴⁴	tʃ a ⁴⁴	0	44	nawsawu2016makyam	157	Khalai	kl2	maky1236	
147	37	gold..metal	gold	1233	GOLD	ʃuɛ³³**	ʃ uɛ ³³ * *	1	33	nawsawu2016makyam	157	Santong	st1	maky1236	
