ID,Name,Description,ColumnSpec,Concepticon_ID,Concepticon_Name
jump (v),jump (v),,,1829,JUMP
stamp (with foot),stamp (with foot),,,3618,STAMP
trample,trample,,,-,-
wave (hand as a greeting) (v),wave (hand as a greeting) (v),,,3544,WAVE (VERB)
"indicate, point (as with the finger)","indicate, point (as with the finger)",,,2669,POINT (WITH FINGER)
clap (hands),clap (hands),,,3110,CLAP
slap (v),slap (v),,,3160,SLAP
straddle,straddle,,,-,-
lean against (intr),lean against (intr),,,3619,LEAN
bow (as in greeting),bow (as in greeting),,,-,-
(be) seated,(be) seated,,,1416,SIT
squat,squat,,,3163,SQUAT
(be) sleepy,(be) sleepy,,,3620,SLEEPY
rest,rest,,,168,REST
"(be) awake, alert","(be) awake, alert",,,825,AWAKE
wrinkle (on skin),wrinkle (on skin),,,2294,WRINKLE
pimple,pimple,,,2201,PIMPLE
hump (back of animal),hump (back of animal),,,534,HUMP
barren woman,barren woman,,,-,-
blind person,blind person,,,311,BLOND PERSON
deaf (mute) person,deaf (mute) person,,,458,DEAF PERSON
cripple (n),cripple (n),,,2322,LAME PERSON
dwarf,dwarf,,,865,DWARF
senile person,senile person,,,-,-
mad person,mad person,,,179,BAD PERSON
"(be) healthy, (be) well","(be) healthy, (be) well",,,1364,HEALTHY
"(be) sick, (be) ill","(be) sick, (be) ill",,,1847,SICK
hurt oneself,hurt oneself,,,2411,HURT (SOMEBODY)
"heal (tr), cure (v)","heal (tr), cure (v)",,,499,CURE
"get well, recover","get well, recover",,,1978,RECOVER
revive,revive,,,-,-
abscess,abscess,,,13,ABSCESS
swelling,swelling,,,1903,SWELLING
tumour,tumour,,,-,-
bruise (n),bruise (n),,,1148,BRUISE
burn (n),burn (n),,,141,BURN (SOMETHING)
goiter,goiter,,,1957,GOITER
"wound, sore","wound, sore",,,1109,WOUND
scar,scar,,,2521,SCAR
intestinal worm,intestinal worm,,,1534,INTESTINAL WORM
"illness, disease","illness, disease",,,1986,DISEASE
elephantiasis,elephantiasis,,,-,-
